# Temporal budget -- fastest oscillating term per scene
#
# ceilings: full-field brightness 3 Hz | hue 2 Hz | camera/geometry 4 Hz | local detail 8.0 Hz
# rates: time 1.0/s, audioPhase ~1.2 rad/s, audioAdvance ~0.25/s
#
scene                                                   Hz  term
NeutronStarMagneticFunnelPlunge                       0.00  audioAdvance*0.013 (NeutronStarMagneticFunnelPlunge.frag)
NewtonBasinPsychedelicSea                             0.00  audioAdvance*0.013 (NewtonBasinPsychedelicSea.frag)
NonEuclideanOctahedralLabyrinth                       0.00  audioAdvance*0.013 (NonEuclideanOctahedralLabyrinth.frag)
NonlinearKerrOpticalSolitonCollision                  0.00  audioAdvance*0.013 (NonlinearKerrOpticalSolitonCollision.frag)
NonlinearSchrodingerRogueWave                         0.00  audioAdvance*0.013 (NonlinearSchrodingerRogueWave.frag)
OctagrammicMirrorVault                                0.00  audioAdvance*0.013 (OctagrammicMirrorVault.frag)
OilProjector                                          0.00  audioAdvance*0.013 (OilProjector.frag)
OpticalDispersionCausticVault                         0.00  audioAdvance*0.013 (OpticalDispersionCausticVault.frag)
PenroseProcessErgosphereExtraction                    0.00  audioAdvance*0.013 (PenroseProcessErgosphereExtraction.frag)
PhotonicMetasurfacePhaseGradient                      0.00  audioAdvance*0.013 (PhotonicMetasurfacePhaseGradient.frag)
PlasmaFlow                                            0.00  audioAdvance*0.013 (PlasmaFlow.frag)
PlasmaLightningGlobe                                  0.00  audioAdvance*0.013 (PlasmaLightningGlobe.frag)
PlasmonicMetamaterialBlackHole                        0.00  audioAdvance*0.013 (PlasmonicMetamaterialBlackHole.frag)
PrismaticCrystalChamber4D                             0.00  audioAdvance*0.013 (PrismaticCrystalChamber4D.frag)
PrismaticKaleidoMandala                               0.00  audioAdvance*0.013 (PrismaticKaleidoMandala.frag)
PrismaticMirrorHexTunnel                              0.00  audioAdvance*0.013 (PrismaticMirrorHexTunnel.frag)
PrismaticRainbowCloud                                 0.00  audioAdvance*0.013 (PrismaticRainbowCloud.frag)
PsychedelicReactionDiffusionWave                      0.00  audioAdvance*0.013 (PsychedelicReactionDiffusionWave.frag)
PsychedelicReactionMelt                               0.00  audioAdvance*0.013 (PsychedelicReactionMelt.frag)
PulsarMagnetosphereJets                               0.00  audioAdvance*0.013 (PulsarMagnetosphereJets.frag)
PyroclasticDensityCurrentSurge                        0.00  audioAdvance*0.013 (PyroclasticDensityCurrentSurge.frag)
QuantumChromodynamicFluxTube                          0.00  audioAdvance*0.013 (QuantumChromodynamicFluxTube.frag)
QuantumHallFractionalAnyonBraiding                    0.00  audioAdvance*0.013 (QuantumHallFractionalAnyonBraiding.frag)
QuantumHallSkyrmionCrystal                            0.00  audioAdvance*0.013 (QuantumHallSkyrmionCrystal.frag)
QuantumTachyonWarpTunnel                              0.00  audioAdvance*0.013 (QuantumTachyonWarpTunnel.frag)
QuantumWavepacketSuperposition                        0.00  audioAdvance*0.013 (QuantumWavepacketSuperposition.frag)
QuantumWormholeFlythrough                             0.00  audioAdvance*0.013 (QuantumWormholeFlythrough.frag)
QuasarRelativisticJet                                 0.00  audioAdvance*0.013 (QuasarRelativisticJet.frag)
QuasiPeriodicDanzerTiling                             0.00  audioAdvance*0.013 (QuasiPeriodicDanzerTiling.frag)
QuasicrystalPenroseKaleido                            0.00  audioAdvance*0.013 (QuasicrystalPenroseKaleido.frag)
QuaternionFractalHopfLoom                             0.00  audioAdvance*0.013 (QuaternionFractalHopfLoom.frag)
QuaternionicJulia4DFlight                             0.00  audioAdvance*0.013 (QuaternionicJulia4DFlight.frag)
ReactionDiffusionMandala                              0.00  audioAdvance*0.013 (ReactionDiffusionMandala.frag)
RecursiveHexagonHoneycombZoom                         0.00  audioAdvance*0.013 (RecursiveHexagonHoneycombZoom.frag)
RecursiveTesseractWireframeZoom                       0.00  audioAdvance*0.013 (RecursiveTesseractWireframeZoom.frag)
RecursiveTesseractZoomAbyss                           0.00  audioAdvance*0.013 (RecursiveTesseractZoomAbyss.frag)
RelativisticKerrPlasmaDisk                            0.00  audioAdvance*0.013 (RelativisticKerrPlasmaDisk.frag)
RelativisticPlasmaZpinchInstability                   0.00  audioAdvance*0.013 (RelativisticPlasmaZpinchInstability.frag)
RelativisticSynchrotronPulsarWind                     0.00  audioAdvance*0.013 (RelativisticSynchrotronPulsarWind.frag)
RiemannSphereInfinityFlight                           0.00  audioAdvance*0.013 (RiemannSphereInfinityFlight.frag)
RosslerAttractorHyperRibbon                           0.00  audioAdvance*0.013 (RosslerAttractorHyperRibbon.frag)
SacredGeometryFlowerOfLife3D                          0.00  audioAdvance*0.013 (SacredGeometryFlowerOfLife3D.frag)
ScherkMinimalSurfaceTower                             0.00  audioAdvance*0.013 (ScherkMinimalSurfaceTower.frag)
SchwarzschildWormholeTunnel                           0.00  audioAdvance*0.013 (SchwarzschildWormholeTunnel.frag)
ShatterField                                          0.00  audioAdvance*0.013 (ShatterField.frag)
SierpinskiOctahedronAbyss                             0.00  audioAdvance*0.013 (SierpinskiOctahedronAbyss.frag)
SiphonophoreBioluminescentCurtain                     0.00  audioAdvance*0.013 (SiphonophoreBioluminescentCurtain.frag)
SkyrmionChiralSpinLattice                             0.00  audioAdvance*0.013 (SkyrmionChiralSpinLattice.frag)
SolarCoronaProminence                                 0.00  audioAdvance*0.013 (SolarCoronaProminence.frag)
SolarFlareCorona                                      0.00  audioAdvance*0.013 (SolarFlareCorona.frag)
SolarMagnetoPlasmaLoop                                0.00  audioAdvance*0.013 (SolarMagnetoPlasmaLoop.frag)
SolitonInternalWaveAndamanSea                         0.00  audioAdvance*0.013 (SolitonInternalWaveAndamanSea.frag)
SonoluminescenceBubble                                0.00  audioAdvance*0.013 (SonoluminescenceBubble.frag)
SpectrumFilter                                        0.00  audioAdvance*0.013 (SpectrumFilter.frag)
SpectrumRadial                                        0.00  audioAdvance*0.013 (SpectrumRadial.frag)
SpintronicDomainWallRacetrack                         0.00  audioAdvance*0.013 (SpintronicDomainWallRacetrack.frag)
SupercellMesocyclone                                  0.00  audioAdvance*0.013 (SupercellMesocyclone.frag)
SupercriticalFluidOpalescence                         0.00  audioAdvance*0.013 (SupercriticalFluidOpalescence.frag)
SuperfluidQuantumTurbulence                           0.00  audioAdvance*0.013 (SuperfluidQuantumTurbulence.frag)
SuperradiantBlackHoleBomb                             0.00  audioAdvance*0.013 (SuperradiantBlackHoleBomb.frag)
ThomasAttractorCosmicLabyrinth                        0.00  audioAdvance*0.013 (ThomasAttractorCosmicLabyrinth.frag)
TricornFractalAntimatterSea                           0.00  audioAdvance*0.013 (TricornFractalAntimatterSea.frag)
VillarceauCirclesHyperFlow                            0.00  audioAdvance*0.013 (VillarceauCirclesHyperFlow.frag)
VolcanicLightningAshColumn                            0.00  audioAdvance*0.013 (VolcanicLightningAshColumn.frag)
VolcanicLightningPlume                                0.00  audioAdvance*0.013 (VolcanicLightningPlume.frag)
VolumetricSupernova                                   0.00  audioAdvance*0.013 (VolumetricSupernova.frag)
VoronoiPrismShatterKaleido                            0.00  audioAdvance*0.013 (VoronoiPrismShatterKaleido.frag)
VoronoiPulse                                          0.00  audioAdvance*0.013 (VoronoiPulse.frag)
AcousticLevitationMatrix                              0.00  audioAdvance*0.013 (AcousticLevitationMatrix.vert)
AsteroidBelt                                          0.00  audioAdvance*0.013 (AsteroidBelt.vert)
AtmosphericGravityWaveUndularBore                     0.00  audioAdvance*0.013 (AtmosphericGravityWaveUndularBore.vert)
BacteriophageIcosahedralCapsidInjection               0.00  audioAdvance*0.013 (BacteriophageIcosahedralCapsidInjection.vert)
BioluminescentCombJellyCydippid                       0.00  audioAdvance*0.013 (BioluminescentCombJellyCydippid.vert)
BismuthFerriteMultiferroicDomains                     0.00  audioAdvance*0.013 (BismuthFerriteMultiferroicDomains.vert)
BoySurfaceCrossCapImmersion                           0.00  audioAdvance*0.013 (BoySurfaceCrossCapImmersion.vert)
CalabiYauSixDimensionalManifoldCrossSection           0.00  audioAdvance*0.013 (CalabiYauSixDimensionalManifoldCrossSection.vert)
CarbonNanotubeChiralityArmchairZigzag                 0.00  audioAdvance*0.013 (CarbonNanotubeChiralityArmchairZigzag.vert)
Chladni3DAcousticLevitation                           0.00  audioAdvance*0.013 (Chladni3DAcousticLevitation.vert)
CliffordTorusVillarceauLinks                          0.00  audioAdvance*0.013 (CliffordTorusVillarceauLinks.frag)
CoralReefFluorescence                                 0.00  audioAdvance*0.013 (CoralReefFluorescence.frag)
CosmicBoidsVortex                                     0.00  audioAdvance*0.013 (CosmicBoidsVortex.vert)
CosmicRayCherenkovAirShowerCascade                    0.00  audioAdvance*0.013 (CosmicRayCherenkovAirShowerCascade.frag)
CosmicStringCuspKinkGravitationalRadiation            0.00  audioAdvance*0.013 (CosmicStringCuspKinkGravitationalRadiation.frag)
CosmicWebFilamentAnisotropy                           0.00  audioAdvance*0.013 (CosmicWebFilamentAnisotropy.vert)
CryogenicBrinicleStalactite                           0.00  audioAdvance*0.013 (CryogenicBrinicleStalactite.frag)
CyberVoxelTerraform                                   0.00  audioAdvance*0.013 (CyberVoxelTerraform.frag)
DNAOrigamiNanotubeLattice                             0.00  audioAdvance*0.013 (DNAOrigamiNanotubeLattice.vert)
DendriticSnowflakeIceCrystalHabit                     0.00  audioAdvance*0.013 (DendriticSnowflakeIceCrystalHabit.vert)
DiatomSilicaMicrofrustule                             0.00  audioAdvance*0.013 (DiatomSilicaMicrofrustule.frag)
DielectricResonatorMetagrating                        0.00  audioAdvance*0.013 (DielectricResonatorMetagrating.vert)
DrumSkin                                              0.00  audioAdvance*0.013 (DrumSkin.frag)
E8LieAlgebraRootLattice                               0.00  audioAdvance*0.013 (E8LieAlgebraRootLattice.vert)
Fireworks                                             0.00  audioAdvance*0.013 (Fireworks.vert)
FullereneC60BuckyballCrystalLattice                   0.00  audioAdvance*0.013 (FullereneC60BuckyballCrystalLattice.vert)
GeothermalFumaroleMineralSpires                       0.00  audioAdvance*0.013 (GeothermalFumaroleMineralSpires.vert)
GlassStack                                            0.00  audioAdvance*0.013 (GlassStack.frag)
GrapheneGyroidTriplyPeriodicMinimalSurface            0.00  audioAdvance*0.013 (GrapheneGyroidTriplyPeriodicMinimalSurface.vert)
HarmonicStrings                                       0.00  audioAdvance*0.013 (HarmonicStrings.vert)
HelicoidMinimalSurfaceTunnel                          0.00  audioAdvance*0.013 (HelicoidMinimalSurfaceTunnel.vert)
HolographicLaserDiffractionGrid                       0.00  audioAdvance*0.013 (HolographicLaserDiffractionGrid.vert)
HyperbolicHelicoidCatenaMinimalSheet                  0.00  audioAdvance*0.013 (HyperbolicHelicoidCatenaMinimalSheet.vert)
HyperbolicPseudosphereTractroid                       0.00  audioAdvance*0.013 (HyperbolicPseudosphereTractroid.vert)
InterstellarMHDShockFront                             0.00  audioAdvance*0.013 (InterstellarMHDShockFront.vert)
KaleidoscopeOrganism                                  0.00  audioAdvance*0.013 (KaleidoscopeOrganism.frag)
KelvinWakeShipWavePattern                             0.00  audioAdvance*0.013 (KelvinWakeShipWavePattern.vert)
KineticTesseractOrigami                               0.00  audioAdvance*0.013 (KineticTesseractOrigami.frag)
LargeHadronCollision                                  0.00  audioAdvance*0.013 (LargeHadronCollision.frag)
LissajousOrbits                                       0.00  audioAdvance*0.013 (LissajousOrbits.vert)
LuttingerLiquidSpinChargeSeparation                   0.00  audioAdvance*0.013 (LuttingerLiquidSpinChargeSeparation.vert)
MagnetarCrustalQuakeAlfvenResonance                   0.00  audioAdvance*0.013 (MagnetarCrustalQuakeAlfvenResonance.frag)
MagnetoRotationalHypernovaInstability                 0.00  audioAdvance*0.013 (MagnetoRotationalHypernovaInstability.frag)
MagnetotacticBacteriaChains                           0.00  audioAdvance*0.013 (MagnetotacticBacteriaChains.vert)
MajoranaNanowireBraiding                              0.00  audioAdvance*0.013 (MajoranaNanowireBraiding.vert)
MandalaGrid                                           0.00  audioAdvance*0.013 (MandalaGrid.frag)
MetamaterialNegativeRefraction                        0.00  audioAdvance*0.013 (MetamaterialNegativeRefraction.frag)
MeteorStorm                                           0.00  audioAdvance*0.013 (MeteorStorm.vert)
MirrorShardKaleidoscope                               0.00  audioAdvance*0.013 (MirrorShardKaleidoscope.vert)
MoireHyperInterference                                0.00  audioAdvance*0.013 (MoireHyperInterference.vert)
NeonHighwayDrive                                      0.00  audioAdvance*0.013 (NeonHighwayDrive.vert)
NonEuclideanKleinQuarticTile                          0.00  audioAdvance*0.013 (NonEuclideanKleinQuarticTile.vert)
OrbitalDrop                                           0.00  audioAdvance*0.013 (OrbitalDrop.vert)
PhotonicChiralMetamaterialGyroidHelix                 0.00  audioAdvance*0.013 (PhotonicChiralMetamaterialGyroidHelix.vert)
PhotonicCrystalFiberCore                              0.00  audioAdvance*0.013 (PhotonicCrystalFiberCore.frag)
PhotonicTopologicalEdgeStates                         0.00  audioAdvance*0.013 (PhotonicTopologicalEdgeStates.frag)
PlasmaSheet                                           0.00  audioAdvance*0.013 (PlasmaSheet.frag)
PolaritonCondensateVortexLattice                      0.00  audioAdvance*0.013 (PolaritonCondensateVortexLattice.vert)
QuantumHallEdgeChiralRibbon                           0.00  audioAdvance*0.013 (QuantumHallEdgeChiralRibbon.vert)
QuantumHallEdgeCurrents                               0.00  audioAdvance*0.013 (QuantumHallEdgeCurrents.vert)
QuantumWavepacketCollapse                             0.00  audioAdvance*0.013 (QuantumWavepacketCollapse.frag)
QuasicrystalPenroseRhomb3D                            0.00  audioAdvance*0.013 (QuasicrystalPenroseRhomb3D.vert)
RadiolarianMicrotubuleExoskeleton                     0.00  audioAdvance*0.013 (RadiolarianMicrotubuleExoskeleton.frag)
RadiolarianSilicaLattice                              0.00  audioAdvance*0.013 (RadiolarianSilicaLattice.vert)
RydbergAtomQuantumSimulatorArray                      0.00  audioAdvance*0.013 (RydbergAtomQuantumSimulatorArray.vert)
SmokeHall                                             0.00  audioAdvance*0.013 (SmokeHall.frag)
SpinGlassFrustrationLattice                           0.00  audioAdvance*0.013 (SpinGlassFrustrationLattice.vert)
SubglacialVolcanicPillowLava                          0.00  audioAdvance*0.013 (SubglacialVolcanicPillowLava.frag)
SuperconductingFluxoniumQubitCircuit                  0.00  audioAdvance*0.013 (SuperconductingFluxoniumQubitCircuit.vert)
SuperconductingVortexLatticeMelting                   0.00  audioAdvance*0.013 (SuperconductingVortexLatticeMelting.vert)
SuperfluidHeliumVortexReconnection                    0.00  audioAdvance*0.013 (SuperfluidHeliumVortexReconnection.frag)
SuperfluidVortexRingPinchOff                          0.00  audioAdvance*0.013 (SuperfluidVortexRingPinchOff.frag)
TopologicalDiracSemimetalFermiArcs                    0.00  audioAdvance*0.013 (TopologicalDiracSemimetalFermiArcs.vert)
VolcanicBasaltColumnarJointingHexagon                 0.00  audioAdvance*0.013 (VolcanicBasaltColumnarJointingHexagon.vert)
WarpStars                                             0.00  audioAdvance*0.013 (WarpStars.vert)
WignerCrystalElectronLattice                          0.00  audioAdvance*0.013 (WignerCrystalElectronLattice.vert)
WormholeMirrorWeave                                   0.00  audioAdvance*0.013 (WormholeMirrorWeave.vert)
XenophyophoreGiantProtistSarcodina                    0.00  audioAdvance*0.013 (XenophyophoreGiantProtistSarcodina.vert)
AuroraAustralisCurtainSwell                           0.00  -- no oscillating time term
BallLightningPlasmoid                                 0.00  -- no oscillating time term
BauhausGeo                                            0.00  -- no oscillating time term
CausticPool                                           0.00  -- no oscillating time term
CityBokeh                                             0.00  -- no oscillating time term
GalaxyCollision                                       0.00  -- no oscillating time term
HeliosphericCurrentSheet                              0.00  -- no oscillating time term
IridescentChitinMorpho                                0.00  -- no oscillating time term
Kaleidoscope                                          0.00  -- no oscillating time term
LightningStorm                                        0.00  -- no oscillating time term
LiquidCrystalOptics                                   0.00  -- no oscillating time term
MantleConvectionPlume                                 0.00  -- no oscillating time term
NeonFluidDynamics                                     0.00  -- no oscillating time term
ParticleFlow                                          0.00  -- no oscillating time term
QuantumChromodynamicsGluonPlasma                      0.00  -- no oscillating time term
Rorschach                                             0.00  -- no oscillating time term
Schlieren                                             0.00  -- no oscillating time term
TextureEffectParallaxKaleidoscope                     0.00  -- no oscillating time term
TextureEffectParallaxKaleidoscopeTunnel               0.00  -- no oscillating time term
TopologicalInsulatorDiracSurface                      0.00  -- no oscillating time term
Tunnel                                                0.00  -- no oscillating time term
TunnelAcceleration                                    0.00  -- no oscillating time term
TunnelPlain                                           0.00  -- no oscillating time term
TunnelReverse                                         0.00  -- no oscillating time term
AbrikosovFluxLatticeVortices                          0.00  -- no oscillating time term
AccretionDiskToroidVortex                             0.00  -- no oscillating time term
AuroraVeil                                            0.00  -- no oscillating time term
BillboardCity                                         0.00  -- no oscillating time term
BioluminescentBreakingWave                            0.00  -- no oscillating time term
BioluminescentMyceliumCave                            0.00  -- no oscillating time term
BlackHole                                             0.00  -- no oscillating time term
CherenkovCascadeShower                                0.00  -- no oscillating time term
CryovolcanicIceGeysers                                0.00  -- no oscillating time term
CyberspaceDNAHelix                                    0.00  -- no oscillating time term
DielectricMetasurfaceHologram                         0.00  -- no oscillating time term
EchoSpiral                                            0.00  -- no oscillating time term
GalleryHall                                           0.00  -- no oscillating time term
GyroRings                                             0.00  -- no oscillating time term
HypercubeLatticePillars                               0.00  -- no oscillating time term
KelvinHelmholtzCloudWaves                             0.00  -- no oscillating time term
LaserArena                                            0.00  -- no oscillating time term
MelodyScript                                          0.00  -- no oscillating time term
MosaicWave                                            0.00  -- no oscillating time term
NebulaCloud                                           0.00  -- no oscillating time term
NeuralAxonSynapseCloud                                0.00  -- no oscillating time term
OrbitalShells                                         0.00  -- no oscillating time term
PhotoVortex                                           0.00  -- no oscillating time term
PlasmaFilamentTornado                                 0.00  -- no oscillating time term
PolyDance                                             0.00  -- no oscillating time term
PortalRush                                            0.00  -- no oscillating time term
RibbonTunnel                                          0.00  -- no oscillating time term
RollerCoaster                                         0.00  -- no oscillating time term
RoseOrbit                                             0.00  -- no oscillating time term
SandDuneBarchanMigration                              0.00  -- no oscillating time term
SineTunnel                                            0.00  -- no oscillating time term
SpectralOrb                                           0.00  -- no oscillating time term
SupernovaRemnantNebula                                0.00  -- no oscillating time term
Swarm                                                 0.00  -- no oscillating time term
TorusKnot                                             0.00  -- no oscillating time term
TronCycles                                            0.00  -- no oscillating time term
WaveRibbon                                            0.00  -- no oscillating time term
Wormhole                                              0.00  -- no oscillating time term
